Date	    Contract	    Units	    $Volume	    LowPrice	    HighPrice	    AvgPrice	    LastPrice
05/01/00	    Dem	224	112.043	0.490	0.550	0.500	0.550
05/01/00	    Reform	2	0.067	0.019	0.048	0.034	0.019
05/01/00	    Rep	116	57.950	0.488	0.501	0.500	0.500
05/02/00	    Dem	87	44.369	0.501	0.522	0.510	0.508
05/02/00	    Reform	50	0.196	0.003	0.005	0.004	0.003
05/02/00	    Rep	151	74.808	0.491	0.499	0.495	0.498
05/03/00	    Dem	44	22.389	0.508	0.510	0.509	0.510
05/03/00	    Reform	42	0.170	0.004	0.005	0.004	0.004
05/03/00	    Rep	25	12.290	0.491	0.492	0.492	0.491
05/04/00	    Dem	52	26.561	0.509	0.514	0.511	0.513
05/04/00	    Reform	166	0.673	0.004	0.005	0.004	0.005
05/04/00	    Rep	135	66.215	0.490	0.491	0.490	0.490
05/05/00	    Dem	50	25.823	0.513	0.531	0.516	0.524
05/05/00	    Reform	17	0.085	0.005	0.005	0.005	0.005
05/05/00	    Rep	19	9.073	0.477	0.482	0.478	0.482
05/06/00	    Dem	47	24.165	0.513	0.523	0.514	0.513
05/06/00	    Reform	78	0.490	0.006	0.008	0.006	0.006
05/06/00	    Rep	154	75.565	0.483	0.499	0.491	0.483
05/07/00	    Dem	0	0.000	0.000	0.000		0.513
05/07/00	    Reform	40	0.270	0.006	0.007	0.007	0.006
05/07/00	    Rep	22	10.658	0.483	0.499	0.484	0.483
05/08/00	    Dem	15	7.686	0.510	0.519	0.512	0.510
05/08/00	    Reform	117	0.702	0.006	0.006	0.006	0.006
05/08/00	    Rep	107	51.418	0.478	0.487	0.481	0.487
05/09/00	    Dem	40	20.410	0.510	0.512	0.510	0.510
05/09/00	    Reform	31	0.186	0.006	0.006	0.006	0.006
05/09/00	    Rep	73	35.757	0.489	0.490	0.490	0.490
05/10/00	    Dem	414	206.902	0.490	0.502	0.500	0.500
05/10/00	    Reform	309	1.243	0.004	0.005	0.004	0.005
05/10/00	    Rep	530	265.436	0.498	0.505	0.501	0.500
05/11/00	    Dem	42	21.001	0.499	0.501	0.500	0.500
05/11/00	    Reform	33	0.133	0.004	0.005	0.004	0.004
05/11/00	    Rep	51	25.627	0.501	0.509	0.502	0.509
05/12/00	    Dem	50	24.724	0.488	0.499	0.494	0.495
05/12/00	    Reform	44	0.196	0.004	0.006	0.004	0.006
05/12/00	    Rep	17	8.543	0.502	0.510	0.503	0.502
05/13/00	    Dem	12	5.971	0.495	0.498	0.498	0.495
05/13/00	    Reform	0	0.000	0.000	0.000		0.006
05/13/00	    Rep	10	5.000	0.500	0.500	0.500	0.500
05/14/00	    Dem	3	1.497	0.499	0.499	0.499	0.499
05/14/00	    Reform	0	0.000	0.000	0.000		0.006
05/14/00	    Rep	0	0.000	0.000	0.000		0.500
05/15/00	    Dem	27	13.407	0.494	0.499	0.497	0.494
05/15/00	    Reform	51	0.204	0.004	0.004	0.004	0.004
05/15/00	    Rep	27	13.515	0.500	0.501	0.501	0.501
05/16/00	    Dem	90	44.344	0.480	0.500	0.493	0.480
05/16/00	    Reform	0	0.000	0.000	0.000		0.004
05/16/00	    Rep	61	31.196	0.503	0.518	0.511	0.510
05/17/00	    Dem	92	45.809	0.489	0.500	0.498	0.500
05/17/00	    Reform	0	0.000	0.000	0.000		0.004
05/17/00	    Rep	62	31.682	0.510	0.517	0.511	0.510
05/18/00	    Dem	121	58.320	0.476	0.485	0.482	0.476
05/18/00	    Reform	66	0.264	0.004	0.004	0.004	0.004
05/18/00	    Rep	79	40.796	0.514	0.539	0.516	0.539
05/19/00	    Dem	129	62.297	0.473	0.494	0.483	0.475
05/19/00	    Reform	94	0.376	0.004	0.004	0.004	0.004
05/19/00	    Rep	201	111.076	0.524	0.590	0.553	0.590
05/20/00	    Dem	306	149.640	0.461	0.497	0.489	0.497
05/20/00	    Reform	4	0.016	0.004	0.004	0.004	0.004
05/20/00	    Rep	4	2.090	0.521	0.524	0.523	0.521
05/21/00	    Dem	100	47.895	0.470	0.480	0.479	0.480
05/21/00	    Reform	115	0.500	0.004	0.005	0.004	0.004
05/21/00	    Rep	161	85.955	0.520	0.556	0.534	0.520
05/22/00	    Dem	21	10.028	0.475	0.480	0.478	0.480
05/22/00	    Reform	158	0.474	0.003	0.003	0.003	0.003
05/22/00	    Rep	12	6.228	0.513	0.521	0.519	0.513
05/23/00	    Dem	251	120.360	0.476	0.480	0.480	0.476
05/23/00	    Reform	197	1.084	0.004	0.007	0.006	0.005
05/23/00	    Rep	72	37.440	0.520	0.520	0.520	0.520
05/24/00	    Dem	289	138.318	0.470	0.490	0.479	0.475
05/24/00	    Reform	24	0.072	0.003	0.003	0.003	0.003
05/24/00	    Rep	89	47.275	0.522	0.540	0.531	0.540
05/25/00	    Dem	11	5.156	0.467	0.475	0.469	0.475
05/25/00	    Reform	272	1.313	0.003	0.005	0.005	0.005
05/25/00	    Rep	306	159.454	0.520	0.539	0.521	0.520
05/26/00	    Dem	252	126.971	0.483	0.510	0.504	0.510
05/26/00	    Reform	52	0.309	0.004	0.006	0.006	0.004
05/26/00	    Rep	99	50.267	0.501	0.514	0.508	0.505
05/27/00	    Dem	89	46.086	0.514	0.520	0.518	0.520
05/27/00	    Reform	5	0.020	0.004	0.004	0.004	0.004
05/27/00	    Rep	189	96.221	0.505	0.515	0.509	0.515
05/28/00	    Dem	503	260.677	0.490	0.530	0.518	0.530
05/28/00	    Reform	0	0.000	0.000	0.000		0.004
05/28/00	    Rep	1	0.489	0.489	0.489	0.489	0.489
05/29/00	    Dem	25	12.975	0.515	0.520	0.519	0.520
05/29/00	    Reform	278	0.874	0.003	0.005	0.003	0.005
05/29/00	    Rep	0	0.000	0.000	0.000		0.489
05/30/00	    Dem	9	4.455	0.495	0.495	0.495	0.495
05/30/00	    Reform	53	0.318	0.006	0.006	0.006	0.006
05/30/00	    Rep	249	126.944	0.504	0.510	0.510	0.510
05/31/00	    Dem	252	126.890	0.492	0.514	0.504	0.492
05/31/00	    Reform	115	0.445	0.003	0.004	0.004	0.003
05/31/00	    Rep	67	33.803	0.495	0.507	0.505	0.497
06/01/00	    Dem	13	6.486	0.498	0.499	0.499	0.498
06/01/00	    Reform	0	0.000	0.000	0.000		0.003
06/01/00	    Rep	47	23.752	0.500	0.509	0.505	0.500
06/02/00	    Dem	327	165.390	0.500	0.528	0.506	0.500
06/02/00	    Reform	112	0.468	0.004	0.005	0.004	0.004
06/02/00	    Rep	226	112.933	0.497	0.500	0.500	0.497
06/03/00	    Dem	0	0.000	0.000	0.000		0.500
06/03/00	    Reform	0	0.000	0.000	0.000		0.004
06/03/00	    Rep	142	71.849	0.505	0.509	0.506	0.508
06/04/00	    Dem	48	24.377	0.507	0.509	0.508	0.509
06/04/00	    Reform	17	0.051	0.003	0.003	0.003	0.003
06/04/00	    Rep	1	0.507	0.507	0.507	0.507	0.507
06/05/00	    Dem	120	60.070	0.498	0.508	0.501	0.500
06/05/00	    Reform	113	0.384	0.003	0.004	0.003	0.004
06/05/00	    Rep	98	48.946	0.495	0.504	0.499	0.503
06/06/00	    Dem	193	97.360	0.500	0.510	0.504	0.500
06/06/00	    Reform	96	0.354	0.003	0.004	0.004	0.004
06/06/00	    Rep	162	80.650	0.495	0.501	0.498	0.495
06/09/00	    Dem	293	159.173	0.508	0.564	0.543	0.540
06/09/00	    Reform	15	0.045	0.003	0.003	0.003	0.003
06/09/00	    Rep	139	63.995	0.450	0.475	0.460	0.460
06/10/00	    Dem	5	2.650	0.530	0.530	0.530	0.530
06/10/00	    Reform	0	0.000	0.000	0.000		0.003
06/10/00	    Rep	139	68.091	0.484	0.499	0.490	0.499
06/11/00	    Dem	268	143.569	0.529	0.540	0.536	0.540
06/11/00	    Reform	0	0.000	0.000	0.000		0.003
06/11/00	    Rep	0	0.000	0.000	0.000		0.499
06/12/00	    Dem	160	85.012	0.511	0.541	0.531	0.511
06/12/00	    Reform	407	2.035	0.003	0.009	0.005	0.009
06/12/00	    Rep	161	76.215	0.460	0.489	0.473	0.489
06/13/00	    Dem	0	0.000	0.000	0.000		0.511
06/13/00	    Reform	85	0.706	0.005	0.009	0.008	0.008
06/13/00	    Rep	0	0.000	0.000	0.000		0.489
06/14/00	    Dem	146	76.374	0.510	0.530	0.523	0.530
06/14/00	    Reform	114	0.912	0.008	0.008	0.008	0.008
06/14/00	    Rep	122	58.552	0.479	0.486	0.480	0.479
06/15/00	    Dem	188	101.066	0.520	0.549	0.538	0.549
06/15/00	    Reform	28	0.197	0.006	0.009	0.007	0.009
06/15/00	    Rep	67	32.354	0.470	0.489	0.483	0.488
06/16/00	    Dem	73	37.244	0.510	0.524	0.510	0.524
06/16/00	    Reform	286	3.402	0.008	0.025	0.012	0.025
06/16/00	    Rep	87	41.917	0.478	0.489	0.482	0.478
06/17/00	    Dem	129	68.872	0.523	0.540	0.534	0.535
06/17/00	    Reform	104	0.516	0.004	0.014	0.005	0.004
06/17/00	    Rep	76	36.250	0.475	0.478	0.477	0.475
06/18/00	    Dem	11	5.844	0.531	0.534	0.531	0.531
06/18/00	    Reform	0	0.000	0.000	0.000		0.004
06/18/00	    Rep	27	12.900	0.475	0.480	0.478	0.480
06/19/00	    Dem	141	71.588	0.500	0.517	0.508	0.517
06/19/00	    Reform	500	4.000	0.008	0.008	0.008	0.008
06/19/00	    Rep	110	54.376	0.489	0.502	0.494	0.490
06/20/00	    Dem	108	55.941	0.510	0.530	0.518	0.529
06/20/00	    Reform	40	0.160	0.004	0.004	0.004	0.004
06/20/00	    Rep	13	6.253	0.481	0.481	0.481	0.481
06/21/00	    Dem	6	3.078	0.510	0.528	0.513	0.510
06/21/00	    Reform	6	0.029	0.004	0.005	0.005	0.005
06/21/00	    Rep	3	1.442	0.480	0.481	0.481	0.480
06/22/00	    Dem	112	57.302	0.510	0.520	0.512	0.510
06/22/00	    Reform	56	0.341	0.006	0.007	0.006	0.006
06/22/00	    Rep	233	115.125	0.481	0.505	0.494	0.505
06/23/00	    Dem	11	5.601	0.501	0.510	0.509	0.510
06/23/00	    Reform	0	0.000	0.000	0.000		0.006
